,source,target,value
0,france,italy,13
1,italy,russia,6
2,germany,russia,27
3,austria,germany,17
4,austria,hungary,6
5,bulgaria,hungary,6
6,bulgaria,russia,6
7,germany,italy,33
8,germany,spain,4
9,france,spain,4
10,france,poland,17
11,germany,poland,25
12,estonia,germany,5
13,estonia,latvia,12
14,latvia,lithuania,6
15,finland,lithuania,6
16,finland,germany,6
17,belgium,poland,6
18,belgium,netherlands,6
19,luxembourg,netherlands,6
20,belgium,luxembourg,5
21,belgium,denmark,6
22,denmark,norway,6
23,germany,norway,11
24,france,germany,24
25,albania,ukraine,4
26,libya,ukraine,3
27,egypt,libya,16
28,egypt,iraq,5
29,germany,japan,25
30,japan,russia,18
31,germany,morocco,2
32,algeria,morocco,6
33,algeria,italy,6
34,france,netherlands,2
35,japan,thailand,6
36,singapore,thailand,6
37,japan,singapore,5
38,japan,solomon islands,11
39,india,japan,14
40,france,russia,6
41,france,india,6
42,india,pakistan,18
43,israel,pakistan,6
44,israel,south africa,12
45,israel,libya,7
46,iran,libya,10
47,germany,iran,4
48,france,japan,4
49,laos,pakistan,6
50,cambodia,laos,6
51,cambodia,kenya,6
52,ghana,kenya,6
53,ghana,latvia,2
54,estonia,lithuania,6
55,albania,lithuania,5
56,albania,bulgaria,6
57,bulgaria,poland,6
58,poland,romania,6
59,hungary,romania,6
60,hungary,mongolia,5
61,cuba,mongolia,6
62,canada,cuba,4
63,australia,canada,6
64,australia,vietnam,4
65,cambodia,vietnam,8
66,cuba,vietnam,5
67,cuba,united states,4
68,russia,united states,5
69,finland,russia,6
70,italy,japan,6
71,romania,russia,6
72,india,lebanon,1
73,india,singapore,5
