,Country,Times mentioned
0,afghanistan,1
1,albania,2
2,algeria,1
3,angola,1
4,australia,2
5,austria,5
6,bangladesh,2
7,belarus,1
8,belgium,2
9,bulgaria,2
10,cambodia,2
11,canada,2
12,cuba,3
13,denmark,3
14,egypt,2
15,estonia,2
16,finland,4
17,france,16
18,germany,43
19,ghana,1
20,greece,4
21,guinea,4
22,bissau,1
23,hungary,3
24,india,9
25,iran,4
26,iraq,1
27,ireland,1
28,israel,4
29,italy,15
30,japan,33
31,kenya,1
32,laos,1
33,latvia,2
34,lebanon,1
35,libya,5
36,lithuania,3
37,luxembourg,1
38,mexico,1
39,mongolia,1
40,morocco,1
41,mozambique,1
42,netherlands,2
43,norway,5
44,pakistan,4
45,philippines,5
46,poland,13
47,romania,3
48,russia,10
49,seychelles,1
50,singapore,2
51,spain,1
52,sweden,1
53,thailand,1
54,ukraine,2
55,vietnam,13
